@RELATION urnsModelData

@ATTRIBUTE logLen NUMERIC
@ATTRIBUTE singleton NUMERIC
@ATTRIBUTE low5 NUMERIC
@ATTRIBUTE mean NUMERIC
@ATTRIBUTE median NUMERIC
@ATTRIBUTE top10 NUMERIC
@ATTRIBUTE top50 NUMERIC
@ATTRIBUTE top100 NUMERIC
@ATTRIBUTE top1000 NUMERIC
@ATTRIBUTE logLenC NUMERIC

@DATA
10.2557,0.0131,0.0386,19.4027,3.0000,0.3695,0.5136,0.5758,0.7657,6.587550014824796
10.1360,0.0240,0.0549,14.6541,2.0000,0.3707,0.5149,0.5770,0.7666,6.587550014824796
11.1152,0.0216,0.0498,16.4758,2.0000,0.3450,0.4943,0.5604,0.7522,4.997212273764115
10.6741,0.0557,0.0922,9.6932,1.0000,0.3469,0.4966,0.5631,0.7544,4.997212273764115
10.3383,0.0804,0.1191,7.6712,1.0000,0.3468,0.4965,0.5623,0.7551,4.997212273764115
10.2250,0.0100,0.0445,15.1689,4.0000,0.1642,0.2761,0.3391,0.6051,6.837332814685591
10.2893,0.0000,0.0010,60.9766,14.0000,0.1633,0.2760,0.3389,0.6045,6.837332814685591
10.2885,0.0001,0.0039,44.5214,10.0000,0.1632,0.2762,0.3388,0.6044,6.837332814685591
9.9967,0.0143,0.0601,11.9573,3.0000,0.1495,0.2622,0.3277,0.6264,6.135564891081739
10.0715,0.0007,0.0122,27.2903,7.0000,0.1488,0.2619,0.3279,0.6240,6.135564891081739
10.0493,0.0046,0.0330,17.3836,5.0000,0.1485,0.2617,0.3277,0.6255,6.135564891081739
11.2049,0.0001,0.0025,71.0962,10.0000,0.4770,0.5606,0.5967,0.7236,1.6094379124341003
10.4056,0.0791,0.1271,7.1638,1.0000,0.4759,0.5585,0.5944,0.7234,1.6094379124341003
10.8318,0.0373,0.0779,11.0194,2.0000,0.4770,0.5610,0.5970,0.7242,1.6094379124341003
10.4848,0.0578,0.0951,9.4282,1.0000,0.4570,0.5732,0.6213,0.7647,3.8066624897703196
11.1750,0.0038,0.0186,34.1390,4.0000,0.4552,0.5724,0.6205,0.7638,3.8066624897703196
10.5767,0.0494,0.0853,10.3947,1.0000,0.4552,0.5733,0.6215,0.7661,3.8066624897703196
10.4230,0.0985,0.1392,6.6239,1.0000,0.3981,0.5229,0.5749,0.7306,6.8690144506657065
10.5077,0.0929,0.1329,6.9165,1.0000,0.3978,0.5233,0.5759,0.7314,6.8690144506657065
