@RELATION urnsModelData

@ATTRIBUTE logLen NUMERIC
@ATTRIBUTE singleton NUMERIC
@ATTRIBUTE low5 NUMERIC
@ATTRIBUTE mean NUMERIC
@ATTRIBUTE median NUMERIC
@ATTRIBUTE top10 NUMERIC
@ATTRIBUTE top50 NUMERIC
@ATTRIBUTE top100 NUMERIC
@ATTRIBUTE top1000 NUMERIC
@ATTRIBUTE logLenC NUMERIC

@DATA
10.2836,0.0306,0.0745,10.8490,2.0000,0.2023,0.3276,0.3938,0.6495,6.854354502255021
10.3713,0.0204,0.0581,13.2862,3.0000,0.2031,0.3284,0.3936,0.6492,6.854354502255021
10.2409,0.0359,0.0819,10.0476,2.0000,0.2028,0.3278,0.3936,0.6500,6.854354502255021
10.4198,0.0299,0.0622,13.6055,2.0000,0.4353,0.5931,0.6432,0.7821,2.8903717578961645
10.1835,0.0488,0.0858,10.2951,1.0000,0.4355,0.5933,0.6427,0.7819,2.8903717578961645
10.2266,0.0444,0.0810,10.8178,2.0000,0.4347,0.5937,0.6431,0.7820,2.8903717578961645
10.3667,0.0096,0.0321,22.8005,3.0000,0.3275,0.4856,0.5585,0.7819,5.2832037287379885
10.3491,0.0111,0.0349,21.4421,3.0000,0.3275,0.4850,0.5582,0.7819,5.2832037287379885
10.2265,0.0216,0.0516,15.7182,2.0000,0.3273,0.4847,0.5578,0.7810,5.2832037287379885
10.2290,0.0205,0.0503,15.9024,2.0000,0.4101,0.5464,0.6031,0.7755,6.218600119691729
10.0825,0.0331,0.0677,12.3919,2.0000,0.4104,0.5461,0.6027,0.7751,6.218600119691729
10.0060,0.0394,0.0759,11.2547,2.0000,0.4093,0.5454,0.6021,0.7758,6.218600119691729
10.9003,0.0251,0.0571,13.7244,2.0000,0.2683,0.4013,0.4635,0.6690,8.517193191416238
10.5248,0.0597,0.1040,8.2781,2.0000,0.2684,0.4015,0.4638,0.6715,8.517193191416238
10.5467,0.0578,0.1022,8.4412,2.0000,0.2687,0.4027,0.4648,0.6719,8.517193191416238
9.0868,0.0006,0.0078,49.1340,7.0000,0.4544,0.6179,0.6854,0.8551,3.332204510175204
9.0935,0.0000,0.0004,112.3851,15.0000,0.4546,0.6171,0.6848,0.8540,3.332204510175204
9.0935,0.0000,0.0001,134.9456,19.0000,0.4538,0.6165,0.6839,0.8539,3.332204510175204
9.1961,0.0000,0.0014,54.0779,13.0000,0.2813,0.4759,0.5580,0.7566,3.713572066704308
9.1963,0.0000,0.0007,61.8586,15.0000,0.2822,0.4774,0.5587,0.7573,3.713572066704308
9.1902,0.0010,0.0144,27.5024,7.0000,0.2799,0.4749,0.5578,0.7585,3.713572066704308
9.8271,0.0358,0.0717,11.9590,2.0000,0.4557,0.5863,0.6411,0.8023,3.828641396489095
9.9149,0.0278,0.0610,13.6984,2.0000,0.4557,0.5870,0.6413,0.8013,3.828641396489095
10.1984,0.0041,0.0205,30.9175,4.0000,0.4555,0.5867,0.6413,0.8002,3.828641396489095
10.0681,0.0407,0.0766,11.2057,2.0000,0.4149,0.5494,0.6057,0.7765,5.863631175598097
10.4232,0.0111,0.0344,21.5476,3.0000,0.4135,0.5486,0.6052,0.7744,5.863631175598097
10.5406,0.0016,0.0118,43.0243,5.0000,0.4118,0.5471,0.6036,0.7736,5.863631175598097
10.4794,0.0799,0.1184,7.6893,1.0000,0.3898,0.5213,0.5766,0.7421,5.616771097666572
10.6503,0.0652,0.1030,8.7621,1.0000,0.3925,0.5238,0.5785,0.7431,5.616771097666572
11.3048,0.0163,0.0422,18.8904,2.0000,0.3901,0.5218,0.5769,0.7409,5.616771097666572
10.5969,0.0505,0.1198,6.9592,2.0000,0.1117,0.1989,0.2502,0.4895,7.275172319452771
10.7017,0.0297,0.0893,8.8616,3.0000,0.1119,0.1986,0.2502,0.4899,7.275172319452771
10.5917,0.0519,0.1221,6.8635,2.0000,0.1120,0.1994,0.2512,0.4910,7.275172319452771
9.7386,0.0284,0.0617,13.5719,2.0000,0.5086,0.6263,0.6712,0.8129,1.9459101490553132
10.0242,0.0043,0.0209,30.3906,4.0000,0.5087,0.6267,0.6706,0.8106,1.9459101490553132
9.8171,0.0224,0.0531,15.3359,2.0000,0.5075,0.6251,0.6692,0.8103,1.9459101490553132
9.9902,0.0250,0.0573,14.3791,2.0000,0.4605,0.5842,0.6362,0.7940,6.573680166960646
10.0228,0.0220,0.0530,15.2748,2.0000,0.4595,0.5826,0.6339,0.7914,6.573680166960646
9.9880,0.0262,0.0589,14.0267,2.0000,0.4617,0.5854,0.6372,0.7932,6.573680166960646
10.5682,0.0018,0.0126,41.8535,5.0000,0.4530,0.5774,0.6289,0.7841,4.442651256490317
10.4851,0.0084,0.0296,24.2974,3.0000,0.4534,0.5775,0.6289,0.7842,4.442651256490317
10.1207,0.0392,0.0745,11.5686,2.0000,0.4522,0.5762,0.6272,0.7847,4.442651256490317
10.6775,0.0335,0.0670,12.6850,2.0000,0.4216,0.5464,0.5981,0.7541,8.052933036797567
10.7177,0.0301,0.0627,13.4130,2.0000,0.4211,0.5462,0.5979,0.7542,8.052933036797567
10.4318,0.0536,0.0914,9.6753,1.0000,0.4222,0.5483,0.5995,0.7560,8.052933036797567
11.1213,0.0032,0.0171,35.8041,4.0000,0.5080,0.6026,0.6415,0.7678,1.6094379124341003
10.5145,0.0511,0.0869,10.2229,1.0000,0.5093,0.6042,0.6427,0.7705,1.6094379124341003
10.8567,0.0238,0.0534,15.5530,2.0000,0.5094,0.6039,0.6426,0.7695,1.6094379124341003
10.1237,0.0034,0.0189,31.9801,4.0000,0.4363,0.5689,0.6241,0.7908,7.179307969504034
9.9998,0.0135,0.0403,18.8636,3.0000,0.4365,0.5696,0.6240,0.7917,7.179307969504034
10.1493,0.0016,0.0118,41.6520,6.0000,0.4355,0.5678,0.6235,0.7908,7.179307969504034
10.8930,0.0442,0.1081,7.7880,2.0000,0.1249,0.2187,0.2727,0.5222,6.8658910748834385
10.6674,0.0838,0.1580,5.6231,2.0000,0.1261,0.2206,0.2746,0.5249,6.8658910748834385
10.7546,0.0691,0.1404,6.2321,2.0000,0.1245,0.2178,0.2722,0.5211,6.8658910748834385
10.2244,0.0282,0.0608,13.8077,2.0000,0.4054,0.5536,0.6172,0.7871,4.127134385045092
10.2075,0.0288,0.0618,13.6426,2.0000,0.4067,0.5540,0.6168,0.7880,4.127134385045092
10.2554,0.0253,0.0569,14.6093,2.0000,0.4063,0.5539,0.6183,0.7885,4.127134385045092
10.4826,0.0250,0.0734,10.6125,3.0000,0.1537,0.2605,0.3197,0.5723,7.0630481633881725
10.4061,0.0372,0.0921,8.8350,2.0000,0.1537,0.2611,0.3198,0.5730,7.0630481633881725
10.4583,0.0288,0.0796,9.9629,2.0000,0.1537,0.2601,0.3192,0.5724,7.0630481633881725
10.4520,0.0117,0.0378,19.4743,3.0000,0.3520,0.4936,0.5548,0.7434,8.517193191416238
10.1103,0.0454,0.0861,9.9864,2.0000,0.3547,0.4955,0.5569,0.7464,8.517193191416238
10.1964,0.0365,0.0752,11.2116,2.0000,0.3528,0.4938,0.5549,0.7446,8.517193191416238
10.5259,0.0482,0.0874,9.6250,2.0000,0.2719,0.4075,0.4711,0.6811,8.021912778985708
10.5634,0.0445,0.0823,10.1139,2.0000,0.2709,0.4058,0.4695,0.6804,8.021912778985708
10.3689,0.0614,0.1043,8.2431,1.0000,0.2724,0.4077,0.4711,0.6825,8.021912778985708
10.5228,0.0394,0.0748,11.5151,2.0000,0.4146,0.5419,0.5946,0.7549,8.517193191416238
10.6184,0.0305,0.0636,13.2245,2.0000,0.4159,0.5434,0.5960,0.7558,8.517193191416238
10.4040,0.0472,0.0848,10.3162,2.0000,0.4164,0.5435,0.5970,0.7571,8.517193191416238
10.4351,0.0929,0.1324,6.9960,1.0000,0.3444,0.5190,0.5995,0.7503,3.8918202981106265
10.9095,0.0564,0.0925,9.7046,1.0000,0.3443,0.5195,0.5995,0.7502,3.8918202981106265
10.7095,0.0710,0.1087,8.3888,1.0000,0.3445,0.5193,0.5994,0.7509,3.8918202981106265
10.3829,0.0804,0.1198,7.6650,1.0000,0.3820,0.5362,0.6043,0.7581,3.871201010907891
11.0023,0.0325,0.0643,13.3383,2.0000,0.3825,0.5375,0.6049,0.7576,3.871201010907891
10.3906,0.0797,0.1184,7.7320,1.0000,0.3833,0.5387,0.6054,0.7584,3.871201010907891
10.3207,0.0104,0.0334,22.2061,3.0000,0.4310,0.5996,0.6517,0.7952,2.9444389791664403
10.2444,0.0168,0.0443,17.8650,2.0000,0.4302,0.5987,0.6513,0.7937,2.9444389791664403
10.2202,0.0183,0.0467,17.1481,2.0000,0.4308,0.5995,0.6520,0.7953,2.9444389791664403
10.3503,0.0395,0.0755,11.3576,2.0000,0.4030,0.5354,0.5909,0.7586,7.267525427828172
10.5372,0.0232,0.0541,15.0262,2.0000,0.4056,0.5373,0.5917,0.7578,7.267525427828172
10.3583,0.0401,0.0761,11.2668,2.0000,0.4046,0.5367,0.5918,0.7580,7.267525427828172
11.1281,0.1927,0.2674,3.5559,1.0000,0.1315,0.2288,0.2854,0.5281,6.100318952020064
11.4058,0.1522,0.2292,4.1046,1.0000,0.1312,0.2282,0.2849,0.5257,6.100318952020064
11.5118,0.1346,0.2109,4.4282,1.0000,0.1307,0.2288,0.2860,0.5276,6.100318952020064
11.2242,0.0680,0.1040,8.7696,1.0000,0.4397,0.5553,0.6020,0.7352,3.58351893845611
11.3437,0.0595,0.0948,9.5233,1.0000,0.4375,0.5536,0.6010,0.7336,3.58351893845611
11.1344,0.0740,0.1106,8.2893,1.0000,0.4387,0.5551,0.6022,0.7354,3.58351893845611
10.6382,0.0135,0.0388,19.9677,3.0000,0.4677,0.6032,0.6463,0.7800,2.302585092994046
10.5725,0.0191,0.0473,17.0883,2.0000,0.4701,0.6058,0.6486,0.7819,2.302585092994046
10.6804,0.0102,0.0328,22.7631,3.0000,0.4681,0.6041,0.6474,0.7801,2.302585092994046
10.7489,0.0028,0.0157,37.2214,5.0000,0.3684,0.5183,0.5840,0.7746,4.897839799950911
10.3085,0.0385,0.0736,11.7427,2.0000,0.3678,0.5180,0.5845,0.7756,4.897839799950911
10.3664,0.0339,0.0673,12.6594,2.0000,0.3691,0.5195,0.5844,0.7756,4.897839799950911
10.5756,0.0846,0.1226,7.5155,1.0000,0.4119,0.5783,0.6232,0.7523,2.833213344056216
10.6510,0.0792,0.1175,7.8165,1.0000,0.4130,0.5778,0.6221,0.7506,2.833213344056216
10.7791,0.0698,0.1073,8.4876,1.0000,0.4129,0.5770,0.6216,0.7493,2.833213344056216
10.4381,0.0155,0.0472,15.2874,3.0000,0.2108,0.3348,0.3979,0.6341,7.734121303328305
10.4840,0.0103,0.0374,18.2664,3.0000,0.2106,0.3342,0.3971,0.6347,7.734121303328305
10.2898,0.0317,0.0719,10.8345,2.0000,0.2118,0.3345,0.3984,0.6357,7.734121303328305
10.7887,0.0129,0.0375,20.6299,3.0000,0.4555,0.5906,0.6392,0.7754,2.8903717578961645
10.1787,0.0617,0.0999,8.9988,1.0000,0.4558,0.5902,0.6385,0.7770,2.8903717578961645
10.2324,0.0575,0.0957,9.3587,1.0000,0.4554,0.5894,0.6380,0.7756,2.8903717578961645
10.4566,0.0392,0.0739,11.7220,2.0000,0.3438,0.5061,0.5814,0.7718,4.499809670330265
10.2267,0.0579,0.0962,9.3079,1.0000,0.3424,0.5049,0.5804,0.7717,4.499809670330265
10.1422,0.0646,0.1030,8.7169,1.0000,0.3431,0.5059,0.5806,0.7718,4.499809670330265
10.6665,0.0510,0.0890,9.7896,2.0000,0.3482,0.4845,0.5432,0.7225,7.652070746116482
10.6060,0.0554,0.0949,9.2533,1.0000,0.3475,0.4840,0.5433,0.7216,7.652070746116482
10.6403,0.0520,0.0906,9.6459,1.0000,0.3480,0.4841,0.5425,0.7224,7.652070746116482
11.1144,0.1063,0.1789,5.1276,1.0000,0.1408,0.2424,0.3010,0.5545,6.2324480165505225
11.2414,0.0862,0.1571,5.7583,2.0000,0.1397,0.2407,0.2994,0.5546,6.2324480165505225
10.9267,0.1339,0.2079,4.4720,1.0000,0.1389,0.2413,0.2997,0.5547,6.2324480165505225
10.3816,0.0054,0.0234,27.9640,4.0000,0.3833,0.5251,0.5852,0.7677,6.666956792429207
10.3621,0.0071,0.0271,25.1975,3.0000,0.3838,0.5239,0.5836,0.7656,6.666956792429207
10.2787,0.0142,0.0405,18.7284,3.0000,0.3833,0.5245,0.5843,0.7677,6.666956792429207
10.9278,0.0122,0.0359,21.2442,3.0000,0.3852,0.5226,0.5810,0.7552,5.552959584921617
10.6872,0.0317,0.0642,13.2089,2.0000,0.3853,0.5238,0.5817,0.7559,5.552959584921617
10.6143,0.0372,0.0713,12.0770,2.0000,0.3870,0.5244,0.5822,0.7564,5.552959584921617
10.1344,0.0046,0.0217,28.8886,4.0000,0.3525,0.5004,0.5654,0.7670,6.733401891837359
10.0858,0.0087,0.0309,22.5819,3.0000,0.3519,0.4998,0.5651,0.7664,6.733401891837359
9.8254,0.0314,0.0665,12.3016,2.0000,0.3537,0.5017,0.5663,0.7689,6.733401891837359
10.4938,0.0253,0.0682,11.8705,2.0000,0.2405,0.3924,0.4734,0.6993,4.795790545596741
10.2756,0.0536,0.1067,8.2053,2.0000,0.2420,0.3951,0.4760,0.7008,4.795790545596741
10.4885,0.0268,0.0700,11.6541,2.0000,0.2400,0.3920,0.4734,0.6990,4.795790545596741
10.3683,0.0474,0.0838,10.5196,2.0000,0.4539,0.5746,0.6245,0.7732,3.970291913552122
10.9038,0.0040,0.0195,32.7518,4.0000,0.4540,0.5747,0.6244,0.7730,3.970291913552122
10.4016,0.0446,0.0804,10.8995,2.0000,0.4537,0.5731,0.6230,0.7722,3.970291913552122
10.1402,0.0342,0.0684,12.3333,2.0000,0.4062,0.5429,0.6006,0.7732,5.945420608606575
10.3320,0.0185,0.0466,16.9985,2.0000,0.4054,0.5421,0.5996,0.7727,5.945420608606575
10.1753,0.0313,0.0645,12.9589,2.0000,0.4073,0.5430,0.6001,0.7737,5.945420608606575
10.3599,0.0273,0.0596,14.0123,2.0000,0.3144,0.4838,0.5667,0.7776,4.663439094112067
10.2066,0.0403,0.0759,11.3824,2.0000,0.3145,0.4830,0.5653,0.7773,4.663439094112067
10.0561,0.0537,0.0927,9.5598,1.0000,0.3148,0.4829,0.5652,0.7773,4.663439094112067
10.4814,0.0467,0.0822,10.7071,2.0000,0.4627,0.5870,0.6365,0.7719,2.995732273553991
10.6655,0.0308,0.0630,13.5092,2.0000,0.4630,0.5861,0.6351,0.7714,2.995732273553991
10.3010,0.0605,0.0985,9.1219,1.0000,0.4612,0.5854,0.6349,0.7717,2.995732273553991
10.1086,0.0392,0.0778,10.8920,2.0000,0.3623,0.5024,0.5642,0.7521,7.538494999413465
10.0410,0.0466,0.0868,9.9151,2.0000,0.3625,0.5042,0.5653,0.7523,7.538494999413465
10.1336,0.0372,0.0749,11.2540,2.0000,0.3639,0.5052,0.5663,0.7530,7.538494999413465
10.3234,0.0000,0.0014,64.5080,13.0000,0.2726,0.4479,0.5364,0.7113,4.007333185232471
10.2744,0.0063,0.0332,19.5490,4.0000,0.2726,0.4473,0.5360,0.7106,4.007333185232471
10.3212,0.0003,0.0066,41.8677,8.0000,0.2723,0.4470,0.5356,0.7107,4.007333185232471
11.0408,0.0240,0.0537,15.4086,2.0000,0.4436,0.5590,0.6064,0.7505,7.5678626054638825
10.5014,0.0663,0.1051,8.5870,1.0000,0.4449,0.5601,0.6078,0.7515,7.5678626054638825
10.6470,0.0547,0.0919,9.6894,1.0000,0.4446,0.5602,0.6074,0.7530,7.5678626054638825
11.2930,0.0055,0.0230,29.3558,4.0000,0.3158,0.4564,0.5194,0.7169,6.721425700790643
10.3223,0.0810,0.1205,7.4257,1.0000,0.3150,0.4555,0.5194,0.7183,6.721425700790643
10.8038,0.0439,0.0786,11.0135,2.0000,0.3151,0.4560,0.5189,0.7179,6.721425700790643
10.1923,0.0000,0.0013,94.9355,12.0000,0.5218,0.6254,0.6676,0.8050,1.6094379124341003
9.9101,0.0234,0.0546,15.0374,2.0000,0.5209,0.6243,0.6669,0.8065,1.6094379124341003
9.9954,0.0165,0.0446,17.7129,2.0000,0.5218,0.6251,0.6671,0.8057,1.6094379124341003
10.3351,0.0279,0.0841,8.9083,3.0000,0.1210,0.2103,0.2627,0.4988,7.801800401908973
10.3487,0.0249,0.0789,9.3616,3.0000,0.1219,0.2112,0.2638,0.4988,7.801800401908973
10.3504,0.0248,0.0782,9.4136,3.0000,0.1209,0.2108,0.2636,0.4977,7.801800401908973
10.2346,0.0432,0.0792,10.9656,2.0000,0.4472,0.5693,0.6205,0.7742,5.375278407684165
10.5070,0.0211,0.0504,16.0961,2.0000,0.4468,0.5695,0.6201,0.7729,5.375278407684165
10.4221,0.0275,0.0593,14.0907,2.0000,0.4472,0.5703,0.6210,0.7744,5.375278407684165
10.5273,0.0699,0.1135,7.5913,1.0000,0.2419,0.3703,0.4324,0.6487,8.272315147956022
10.5164,0.0690,0.1122,7.6544,1.0000,0.2417,0.3705,0.4323,0.6477,8.272315147956022
10.9227,0.0352,0.0686,11.7790,2.0000,0.2410,0.3685,0.4307,0.6447,8.272315147956022
10.1342,0.0488,0.0855,10.2896,1.0000,0.3525,0.5233,0.6033,0.7809,4.127134385045092
10.3670,0.0298,0.0628,13.4636,2.0000,0.3526,0.5243,0.6041,0.7805,4.127134385045092
10.3653,0.0300,0.0627,13.4860,2.0000,0.3529,0.5248,0.6049,0.7810,4.127134385045092
10.3985,0.0130,0.0380,19.8224,3.0000,0.3263,0.4746,0.5414,0.7528,6.366470447731438
10.2236,0.0276,0.0597,13.7492,2.0000,0.3285,0.4772,0.5434,0.7533,6.366470447731438
10.3841,0.0139,0.0397,19.1752,3.0000,0.3275,0.4758,0.5423,0.7538,6.366470447731438
10.6153,0.0299,0.0618,13.6832,2.0000,0.4414,0.5747,0.6296,0.7730,3.367295829986474
10.4725,0.0414,0.0765,11.4083,2.0000,0.4409,0.5746,0.6301,0.7738,3.367295829986474
10.4187,0.0459,0.0822,10.7149,2.0000,0.4425,0.5757,0.6304,0.7729,3.367295829986474
9.8688,0.0299,0.0645,12.8361,2.0000,0.4082,0.5469,0.6063,0.7852,6.1224928095143865
9.9626,0.0217,0.0520,15.3308,2.0000,0.4074,0.5484,0.6066,0.7843,6.1224928095143865
10.2060,0.0003,0.0046,63.9158,8.0000,0.4083,0.5480,0.6070,0.7843,6.1224928095143865
10.3309,0.0257,0.0581,14.2527,2.0000,0.4424,0.5670,0.6181,0.7745,7.277247726631484
10.5572,0.0066,0.0260,26.4078,3.0000,0.4422,0.5671,0.6186,0.7749,7.277247726631484
10.3099,0.0274,0.0595,13.9523,2.0000,0.4430,0.5677,0.6196,0.7768,7.277247726631484
10.5566,0.0162,0.0430,18.4070,2.0000,0.4766,0.6053,0.6485,0.7822,2.302585092994046
10.4373,0.0264,0.0576,14.5232,2.0000,0.4765,0.6053,0.6489,0.7835,2.302585092994046
10.4942,0.0210,0.0499,16.3627,2.0000,0.4772,0.6060,0.6491,0.7838,2.302585092994046
10.6814,0.0648,0.1020,8.8867,1.0000,0.4855,0.5929,0.6320,0.7569,2.0794415416798357
10.8028,0.0557,0.0923,9.7286,1.0000,0.4851,0.5922,0.6315,0.7561,2.0794415416798357
10.8668,0.0508,0.0861,10.3406,1.0000,0.4852,0.5927,0.6317,0.7563,2.0794415416798357
10.7419,0.0937,0.1589,5.6668,1.0000,0.1503,0.2559,0.3156,0.5665,6.679599185844383
10.7708,0.0883,0.1531,5.8658,1.0000,0.1525,0.2577,0.3160,0.5659,6.679599185844383
10.7264,0.0941,0.1596,5.6472,1.0000,0.1525,0.2575,0.3154,0.5676,6.679599185844383
10.1319,0.0430,0.0791,11.0255,2.0000,0.3863,0.5384,0.6049,0.7838,4.330733340286331
10.3679,0.0237,0.0543,15.2040,2.0000,0.3846,0.5383,0.6048,0.7830,4.330733340286331
10.1719,0.0389,0.0745,11.6194,2.0000,0.3872,0.5411,0.6074,0.7847,4.330733340286331
10.8374,0.0018,0.0127,42.0157,5.0000,0.3050,0.4566,0.5279,0.7584,5.746203190540153
10.1931,0.0547,0.0925,9.5388,1.0000,0.3052,0.4575,0.5285,0.7599,5.746203190540153
10.4999,0.0283,0.0605,13.8505,2.0000,0.3052,0.4573,0.5286,0.7589,5.746203190540153
10.2405,0.0426,0.0786,10.8488,2.0000,0.3667,0.5080,0.5690,0.7530,6.583409222158765
10.6659,0.0071,0.0268,25.8197,3.0000,0.3665,0.5075,0.5679,0.7520,6.583409222158765
10.6608,0.0077,0.0282,24.9730,3.0000,0.3658,0.5068,0.5680,0.7522,6.583409222158765
10.0397,0.0430,0.0798,10.9015,2.0000,0.4565,0.5790,0.6301,0.7855,4.897839799950911
10.3977,0.0137,0.0390,19.7114,3.0000,0.4559,0.5782,0.6292,0.7839,4.897839799950911
10.0531,0.0428,0.0795,10.9295,2.0000,0.4561,0.5791,0.6298,0.7843,4.897839799950911
10.0296,0.0202,0.0496,16.2529,2.0000,0.3676,0.5290,0.6016,0.7983,4.543294782270004
10.1369,0.0109,0.0347,21.4048,3.0000,0.3679,0.5285,0.6011,0.7972,4.543294782270004
9.8488,0.0355,0.0710,12.0170,2.0000,0.3690,0.5304,0.6015,0.7976,4.543294782270004
10.4228,0.0109,0.0343,21.5566,3.0000,0.3563,0.5027,0.5666,0.7630,6.104793232414985
10.0033,0.0464,0.0832,10.3290,2.0000,0.3551,0.4999,0.5635,0.7624,6.104793232414985
10.0921,0.0389,0.0748,11.3716,2.0000,0.3544,0.4995,0.5644,0.7627,6.104793232414985
10.4090,0.0334,0.0665,12.7949,2.0000,0.3373,0.4971,0.5707,0.7740,4.804021044733257
10.7800,0.0026,0.0156,37.3581,5.0000,0.3377,0.4971,0.5703,0.7735,4.804021044733257
10.3745,0.0361,0.0703,12.2171,2.0000,0.3378,0.4980,0.5712,0.7743,4.804021044733257
10.2373,0.0501,0.0880,10.0833,1.0000,0.5050,0.6070,0.6478,0.7791,1.791759469228055
10.1672,0.0567,0.0950,9.4161,1.0000,0.5058,0.6080,0.6482,0.7794,1.791759469228055
10.1124,0.0606,0.0995,9.0391,1.0000,0.5054,0.6076,0.6486,0.7804,1.791759469228055
10.9108,0.0763,0.1158,7.8404,1.0000,0.3798,0.5057,0.5579,0.7159,8.025843344150903
10.9694,0.0726,0.1116,8.1206,1.0000,0.3791,0.5053,0.5580,0.7155,8.025843344150903
10.7630,0.0890,0.1291,7.0914,1.0000,0.3792,0.5042,0.5571,0.7154,8.025843344150903
10.2470,0.0131,0.0387,19.8848,3.0000,0.4621,0.6003,0.6527,0.7962,2.9444389791664403
10.0731,0.0279,0.0603,13.8954,2.0000,0.4613,0.6003,0.6525,0.7966,2.9444389791664403
10.3511,0.0044,0.0210,30.7128,4.0000,0.4625,0.6000,0.6522,0.7954,2.9444389791664403
10.3567,0.0018,0.0189,24.4311,6.0000,0.4049,0.4927,0.5272,0.6669,2.302585092994046
10.3590,0.0015,0.0175,25.2766,6.0000,0.4051,0.4928,0.5272,0.6672,2.302585092994046
10.2671,0.0164,0.0620,12.1840,3.0000,0.4045,0.4923,0.5270,0.6677,2.302585092994046
10.0126,0.0394,0.0754,11.4259,2.0000,0.4155,0.5532,0.6111,0.7858,4.948759890378168
9.9848,0.0414,0.0779,11.0994,2.0000,0.4166,0.5532,0.6117,0.7856,4.948759890378168
10.0977,0.0322,0.0662,12.7967,2.0000,0.4161,0.5544,0.6117,0.7860,4.948759890378168
10.6160,0.0267,0.0579,14.4855,2.0000,0.4053,0.5813,0.6353,0.7747,3.1354942159291497
10.5001,0.0367,0.0710,12.1796,2.0000,0.4049,0.5802,0.6341,0.7744,3.1354942159291497
10.3637,0.0473,0.0835,10.5687,2.0000,0.4066,0.5827,0.6366,0.7767,3.1354942159291497
9.6035,0.0140,0.0429,17.2749,3.0000,0.3812,0.5284,0.5922,0.7900,7.084226422097916
9.5975,0.0153,0.0443,16.8365,3.0000,0.3818,0.5303,0.5943,0.7907,7.084226422097916
9.7601,0.0000,0.0003,113.3097,17.0000,0.3820,0.5299,0.5938,0.7897,7.084226422097916
10.9565,0.0189,0.0461,17.5076,2.0000,0.4415,0.5772,0.6294,0.7658,3.1354942159291497
10.5494,0.0515,0.0879,10.1180,1.0000,0.4395,0.5759,0.6287,0.7660,3.1354942159291497
10.7127,0.0381,0.0720,12.0641,2.0000,0.4402,0.5770,0.6294,0.7666,3.1354942159291497
10.5090,0.0414,0.0769,10.9992,2.0000,0.3211,0.4620,0.5254,0.7229,7.1731917424865985
10.6284,0.0311,0.0634,13.0037,2.0000,0.3210,0.4623,0.5253,0.7234,7.1731917424865985
10.3142,0.0575,0.0964,9.0027,1.0000,0.3219,0.4628,0.5255,0.7236,7.1731917424865985
10.6120,0.0352,0.0870,9.6931,2.0000,0.4384,0.5107,0.5440,0.6750,1.791759469228055
10.6432,0.0301,0.0790,10.4300,2.0000,0.4381,0.5101,0.5437,0.6742,1.791759469228055
10.7314,0.0182,0.0598,12.9481,3.0000,0.4380,0.5099,0.5426,0.6729,1.791759469228055
10.2296,0.0198,0.0492,16.4556,2.0000,0.4598,0.6086,0.6541,0.7933,2.4849066497880004
10.0273,0.0373,0.0723,11.9086,2.0000,0.4619,0.6089,0.6545,0.7937,2.4849066497880004
10.4031,0.0054,0.0234,28.6863,4.0000,0.4605,0.6098,0.6559,0.7941,2.4849066497880004
9.9741,0.0430,0.0791,11.0291,2.0000,0.4601,0.5980,0.6501,0.7946,2.9444389791664403
10.1019,0.0328,0.0664,12.8152,2.0000,0.4607,0.5991,0.6506,0.7934,2.9444389791664403
10.1893,0.0253,0.0567,14.6361,2.0000,0.4616,0.5987,0.6503,0.7936,2.9444389791664403
9.6595,0.0023,0.0132,38.6452,5.0000,0.4630,0.5953,0.6498,0.8184,8.28576542051433
9.5577,0.0104,0.0344,21.0234,3.0000,0.4639,0.5956,0.6501,0.8188,8.28576542051433
9.4807,0.0165,0.0457,16.9109,3.0000,0.4624,0.5947,0.6489,0.8186,8.28576542051433
10.6926,0.0248,0.0551,15.0919,2.0000,0.4346,0.5621,0.6145,0.7704,4.330733340286331
10.5709,0.0345,0.0680,12.6136,2.0000,0.4347,0.5624,0.6147,0.7702,4.330733340286331
10.6545,0.0277,0.0589,14.2671,2.0000,0.4363,0.5636,0.6157,0.7706,4.330733340286331
10.5263,0.0341,0.0754,10.3774,2.0000,0.2147,0.3364,0.3977,0.6196,8.406708458240965
10.3629,0.0524,0.1020,8.1223,2.0000,0.2136,0.3354,0.3968,0.6208,8.406708458240965
10.5704,0.0290,0.0680,11.3033,2.0000,0.2146,0.3344,0.3962,0.6179,8.406708458240965
11.0873,0.0053,0.0224,30.0508,4.0000,0.4147,0.5572,0.6169,0.7665,3.713572066704308
10.5330,0.0485,0.0848,10.4265,1.0000,0.4135,0.5563,0.6156,0.7657,3.713572066704308
11.1194,0.0028,0.0158,37.5689,4.0000,0.4151,0.5576,0.6173,0.7668,3.713572066704308
10.1809,0.0408,0.0770,11.0513,2.0000,0.3489,0.4926,0.5562,0.7531,6.490723534502507
10.6661,0.0007,0.0075,54.0295,7.0000,0.3486,0.4928,0.5564,0.7513,6.490723534502507
10.4006,0.0220,0.0517,15.4946,2.0000,0.3495,0.4925,0.5561,0.7517,6.490723534502507
10.9818,0.0461,0.0815,10.6989,2.0000,0.3706,0.5017,0.5573,0.7244,7.167809184316444
10.5726,0.0777,0.1175,7.6965,1.0000,0.3706,0.5024,0.5588,0.7258,7.167809184316444
10.4590,0.0872,0.1281,7.1143,1.0000,0.3710,0.5026,0.5581,0.7251,7.167809184316444
